date,Precio_Petroleo,ISE,Tasa de política monetaria(Dato mes),Inflación total(Dato fin de mes),Tasa Representativa del Mercado (TRM)(Promedio mensual),IPI,df_PIB
2023-01-01,84.08181818181818,120.511049670851,"12,00","13,25","4.712,18",103.09213142908327,246512.527774479
2023-02-01,83.6325,120.45049550983,"12,75","13,28","4.802,75",101.62798892480558,NA
2023-03-01,79.25652173913043,120.963627084576,"12,75","13,34","4.760,96",110.60968724997068,NA
2023-04-01,83.536,118.464752978978,"13,00","12,82","4.526,03",102.0785455570253,244647.340682406
2023-05-01,75.74739130434783,120.024110478069,"13,25","12,36","4.539,54",107.82008500479313,NA
2023-06-01,74.975,122.627830262426,"13,25","12,13","4.213,53",104.80419537291851,NA
2023-07-01,80.10904761904762,119.258393093049,"13,25","11,78","4.067,63",106.75035186659277,243822.318086668
2023-08-01,85.16826086956522,121.162765501195,"13,25","11,43","4.066,87",109.34422002155677,NA
2023-09-01,92.67333333333333,121.252710285356,"13,25","10,99","4.008,41",108.54293125825609,NA
2023-10-01,88.94772727272726,119.535151394284,"13,25","10,48","4.219,16",109.246711789063,245860.813456448
2023-11-01,82.18636363636364,121.959542665935,"13,25","10,15","4.040,26",107.98500034394837,NA
2023-12-01,77.54095238095238,120.656353728902,"13,25","9,28","3.954,14",107.65770208457664,NA
2024-01-01,79.11,122.260762731136,"13,00","8,35","3.920,20",101.49002367601871,246462.702555035
2024-02-01,81.7957142857143,122.052078316302,"12,75","7,74","3.931,85",101.53460577873714,NA
2024-03-01,84.96142857142857,120.57890172669,"12,75","7,36","3.908,67",103.16636743296938,NA
2024-04-01,88.97454545454545,123.295083288065,"12,25","7,16","3.866,12",105.21309800875504,248813.119825147
2024-05-01,83.05391304347826,122.764387857627,"11,75","7,16","3.865,09",105.11182936220982,NA
2024-06-01,82.9175,120.444080656022,"11,75","7,18","4.054,56",100.48759729873152,NA
2024-07-01,84.0486956521739,122.961866831436,"11,25","6,86","4.036,80",107.24761189337072,248008.937926105
2024-08-01,79.01863636363636,122.722293205136,"10,75","6,12","4.062,98",107.1211265459776,NA
2024-09-01,73.05761904761906,122.23062275566,"10,75","5,81","4.191,86",103.69083904176033,NA
2024-10-01,75.26652173913043,123.821336344458,"10,25","5,41","4.257,76",108.54457395710082,252205.239693713
2024-11-01,73.50857142857143,122.342605222715,"9,75","5,20","4.411,12",105.32075930492648,NA
2024-12-01,73.22772727272726,124.550332814069,"9,75","5,20","4.386,20",107.43447622055376,NA
2025-01-01,78.19391304347826,124.701495725459,"9,50","5,22","4.300,31",101.3132126164668,253276.259798744
2025-02-01,75.193,125.010104745708,"9,50","5,28","4.131,95",99.50572794685952,NA
2025-03-01,71.74142857142857,124.015426490903,"9,50","5,09","4.133,48",105.0691923418986,NA
2025-04-01,66.92727272727274,125.175058153279,"9,50","5,16","4.273,88",100.2979886454879,253364.397717233
2025-05-01,64.09272727272727,125.657992121932,"9,25","5,05","4.202,30",105.11183091415755,NA
2025-06-01,69.84666666666666,124.752285979907,"9,25","4,82","4.115,88",101.74565290938042,NA
2025-07-01,69.56478260869565,128.512242670877,"9,25","4,90","4.047,29",110.54128794015497,257168.684675932
2025-08-01,67.24428571428571,125.608668100118,"9,25","5,10","4.051,59",107.49331185504327,NA
2025-09-01,67.60909090909091,126.866721001011,"9,25","5,18","3.924,24",107.62977561849726,NA
2025-10-01,63.98130434782609,126.957012493032,"9,25","5,51","3.881,44",109.77300629012893,257263.581395344
2025-11-01,63.6935,125.385892319304,"9,25","5,30","3.780,34",107.09115807482219,NA
2025-12-01,61.81090909090909,126.479653082181,"9,25","5,10","3.794,93",107.18681427846205,NA
